Titanic Victims
##################################################################################
Data Source: https://www.encyclopedia-titanica.org/
Data Extracted: December 2018, by Michael Graber
==================================================================================
Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ABBING, Mr Anthony",41,3rd Class Passenger,5547,Southampton,Blacksmith,
,,,£7 11s,,,
"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673,Southampton,Jeweller,[190]
,,,£20 5s,,,
"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673,Southampton,Scholar,
,,,£20 5s,,,
"ABBOTT, Mr Ernest Owen",21,Victualling Crew,,Southampton,Lounge Pantry Steward,
"ABELSON, Mr Samuel",30,2nd Class Passenger,3381,Cherbourg,,
,,,£24,,,
"ABĪ SA'B, Mr Jirjis Yūsuf",45,3rd Class Passenger,2685,Cherbourg,Shoemaker,[312]
,,,£7 4s 6d,,,
"ABĪ SHADĪD, Mr Dāhir",19,3rd Class Passenger,2698,Cherbourg,,[9]
,,,£7 4s 6d,,,
"ABRAMS, Mr William Thomas",34,Engineering Crew,,Southampton,Fireman,
"ÅDAHL, Mr Mauritz",30,3rd Class Passenger,7076,Southampton,Carpenter / Joiner,[72]
,,,£7 5s,,,
"ADAMS, Mr Robert John",26,Engineering Crew,,Southampton,Fireman,
"ADAMS, Mr John",26,3rd Class Passenger,341826,Southampton,,[103]
,,,£8 1s,,,
"AHIER, Mr Percy Snowden",20,Victualling Crew,,Southampton,Saloon Steward,
"AHLIN, Mrs Johanna Persdotter",40,3rd Class Passenger,7546,Southampton,,
,,,£9 9s 6d,,,
"AHMED, Mr Ali",24,3rd Class Passenger,3101311,Southampton,General Labourer,
,,,£7 1s,,,
"ÄIJÖ-NIRVA, Mr Isakki Antonpoika",41,3rd Class Passenger,3101272,Southampton,General Labourer,
,,,£7 2s 6d,,,
"AKERMAN, Mr Joseph Francis",37,Victualling Crew,,Southampton,Assistant Pantryman Steward,[205]
"AKERMAN, Mr Albert Edward",31,Victualling Crew,,Southampton,3rd Class Steward,
"AL-MUNÀ, Mr Farīd Husayn Qāsim",19,3rd Class Passenger,2700,Cherbourg,Farmer,
,,,£7 4s 7d,,,
"ALDWORTH, Mr Augustus Henry",35,2nd Class Passenger,248744,Southampton,Chauffeur,
,,Servant,£13,,,
"ALEXANDER, Mr William Albert",24,3rd Class Passenger,3474,Southampton,General Labourer,
,,,£7 17s 9d,,,
"ALHOMÄKI, Mr Ilmari Rudolf",19,3rd Class Passenger,3101287,Southampton,General Labourer,
,,,£7 18s 6d,,,
"ALI, Mr William",25,3rd Class Passenger,3101312,Southampton,General Labourer,[79]
,,,£7 1s,,,
"ALLARIA, Sig. Battista Antonio",22,Restaurant Staff,,Southampton,Assistant Waiter,[221]
"ALLEN, Mr George",26,Victualling Crew,,Southampton,Scullion,
"ALLEN, Mr William Henry",39,3rd Class Passenger,373450,Southampton,Tool Maker,
,,,£8 1s,,,
"ALLEN, Mr Henry",30,Engineering Crew,,Southampton,Fireman,[145]
"ALLEN, Mr Robert Spencer",35,Victualling Crew,,Southampton,Bedroom Steward (1st Class),
"ALLISON, Mr Hudson Joshua Creighton",30,1st Class Passenger,113781,Southampton,Businessman,[135]
,,,£151 16s,,,
"ALLISON, Mrs Bess Waldo",25,1st Class Passenger,113781,Southampton,,
,,,£151 16s,,,
"ALLISON, Miss Helen Loraine",2,1st Class Passenger,113781,Southampton,,
,,,£151 16s,,,
"ALLSOP, Mr Frank Richard",43,Victualling Crew,,Belfast,Saloon Steward,
"ALLSOP, Mr Alfred Samuel",36,Engineering Crew,,Belfast,2nd Electrician,
"ALLUM, Mr Owen George",17,3rd Class Passenger,2223,Southampton,Gardener,[259]
,,,£8 6s,,,
"ANDERSEN, Mr Albert Kaurin",33,3rd Class Passenger,4001,Southampton,Engineer,[260]
,,,£22 10s 6d,,,
"ANDERSON, Mr Walter Yuill",50,Victualling Crew,,Southampton,Bed Room Steward,[146]
"ANDERSSON, MissIngeborg Constanzia",9,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDERSSON, Mr Johan Samuel",26,3rd Class Passenger,347075,Southampton,Carpenter / Joiner,
,,,£7 15s 6d,,,
"ANDERSSON, Miss Ebba Iris Alfrida",6,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDERSSON, Miss Sigrid Elisabeth",11,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDERSSON, Miss Ida Augusta Margareta",38,3rd Class Passenger,347091,Southampton,,
,,,£7 15s 6d,,,
"ANDERSSON, MasterSigvard Harald Elias",4,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDERSSON, Mr Anders Johan",39,3rd Class Passenger,347082,Southampton,General Labourer,
,,,£31 5s 6d,,,
"ANDERSSON, Miss Ellis Anna Maria",2,3rd Class Passenger,347082,Southampton,,
,,,£31 5s 6d,,,
"ANDREASSON, Mr Pål Edvin",20,3rd Class Passenger,347466,Southampton,General Labourer,
,,,£7 17s 1d,,,
"ANDREW, Mr Frank Thomas",26,2nd Class Passenger,34050,Southampton,Miner,
,,,£10 10s,,,
"ANDREW, Mr Edgar Samuel",17,2nd Class Passenger,231945,Southampton,,
,,,£11 10s,,,
"ANDREWS, Mr Thomas",39,1st Class Passenger,112050,Belfast,Shipbuilder,
,,H&W Guarantee Group,,,,
"ANGLE, Mr William",31,2nd Class Passenger,226875,Southampton,Tile Maker,
,,,£26,,,
"ARNOLD-FRANCHI, MrsJosefine",18,3rd Class Passenger,349237,Southampton,,
,,,£17 16s,,,
